model,Parameter Set,Fold,testAccuracy,testPrecision,testRecall,testF1,testRocauc,testCohenkappascore,trainAccuracy,trainPrecision,trainRecall,trainF1,trainRocauc,trainCohenkappascore
AdaBoostClassifier,"{'estimator': DecisionTreeClassifier(max_depth=1), 'n_estimators': 50, 'learning_rate': 0.1, 'algorithm': 'SAMME'}",1,0.7674750356633381,0.8194444444444444,0.1586021505376344,0.26576576576576577,0.5729903956571667,0.19663221542571896,0.760342368045649,0.7669172932330827,0.13728129205921938,0.2328767123287671,0.5611200249718707,0.1657518198795218
AdaBoostClassifier,"{'estimator': DecisionTreeClassifier(max_depth=1), 'n_estimators': 50, 'learning_rate': 0.1, 'algorithm': 'SAMME'}",2,0.7346647646219686,0.0,0.0,0.0,0.5,0.0,0.7353780313837375,0.0,0.0,0.0,0.5,0.0
AdaBoostClassifier,"{'estimator': DecisionTreeClassifier(max_depth=1), 'n_estimators': 50, 'learning_rate': 0.1, 'algorithm': 'SAMME.R'}",1,0.7995720399429387,0.6607773851590106,0.5026881720430108,0.5709923664122137,0.7047421442739326,0.44336623535163155,0.7952924393723253,0.648506151142355,0.49663526244952894,0.5625,0.6997974953683841,0.4319387120523882
AdaBoostClassifier,"{'estimator': DecisionTreeClassifier(max_depth=1), 'n_estimators': 50, 'learning_rate': 0.1, 'algorithm': 'SAMME.R'}",2,0.7931526390870185,0.7070707070707071,0.3763440860215054,0.49122807017543857,0.6600167032049274,0.3762464944740024,0.7920827389443652,0.7226890756302521,0.3477088948787062,0.46951774340309377,0.6498486278467245,0.3593828375802568
AdaBoostClassifier,"{'estimator': DecisionTreeClassifier(max_depth=2), 'n_estimators': 50, 'learning_rate': 0.1, 'algorithm': 'SAMME'}",1,0.7981455064194009,0.6403785488958991,0.5456989247311828,0.5892597968069666,0.7175096565403486,0.4565817046279429,0.8020684736091298,0.6530944625407166,0.5397039030955586,0.5910095799557847,0.7181780068607342,0.46200404891890556
AdaBoostClassifier,"{'estimator': DecisionTreeClassifier(max_depth=2), 'n_estimators': 50, 'learning_rate': 0.1, 'algorithm': 'SAMME'}",2,0.8002853067047075,0.6932773109243697,0.4435483870967742,0.540983606557377,0.6863373003445037,0.42112931100585704,0.793509272467903,0.6908665105386417,0.3975741239892183,0.504704875962361,0.6667793025377711,0.3860104802647901
AdaBoostClassifier,"{'estimator': DecisionTreeClassifier(max_depth=2), 'n_estimators': 50, 'learning_rate': 0.1, 'algorithm': 'SAMME.R'}",1,0.796718972895863,0.639871382636656,0.5349462365591398,0.5827232796486091,0.7131041862407348,0.44976603661341097,0.800641940085592,0.6503267973856209,0.5356662180349933,0.5874538745387453,0.7159165636511696,0.45763235003051916
AdaBoostClassifier,"{'estimator': DecisionTreeClassifier(max_depth=2), 'n_estimators': 50, 'learning_rate': 0.1, 'algorithm': 'SAMME.R'}",2,0.8052781740370899,0.6655518394648829,0.5349462365591398,0.593144560357675,0.7189294289591815,0.46713983009553306,0.7995720399429387,0.67578125,0.46630727762803237,0.5518341307814992,0.6929014564667805,0.4282965366520486
BaggingClassifier,"{'estimator': DecisionTreeClassifier(max_depth=1), 'n_estimators': 10, 'max_samples': 0.5, 'max_features': 0.5, 'bootstrap': True}",1,0.7346647646219686,0.0,0.0,0.0,0.5,0.0,0.735021398002853,0.0,0.0,0.0,0.5,0.0
BaggingClassifier,"{'estimator': DecisionTreeClassifier(max_depth=1), 'n_estimators': 10, 'max_samples': 0.5, 'max_features': 0.5, 'bootstrap': True}",2,0.7346647646219686,0.0,0.0,0.0,0.5,0.0,0.7353780313837375,0.0,0.0,0.0,0.5,0.0
BaggingClassifier,"{'estimator': DecisionTreeClassifier(max_depth=2), 'n_estimators': 10, 'max_samples': 0.5, 'max_features': 0.5, 'bootstrap': True}",1,0.7988587731811697,0.690677966101695,0.4381720430107527,0.5361842105263158,0.6836491283014928,0.4158609522008416,0.7860199714693296,0.6462167689161554,0.4253028263795424,0.512987012987013,0.6706814956740021,0.3832559715001499
