model,Parameter Set,Fold,testAccuracy,testPrecision,testRecall,testF1,testRocauc,testCohenkappascore,trainAccuracy,trainPrecision,trainRecall,trainF1,trainRocauc,trainCohenkappascore
LogisticRegression,"{'penalty': 'l1', 'C': 1, 'solver': 'liblinear', 'max_iter': 1000, 'class_weight': None}",1,0.8102710413694721,0.6596385542168675,0.5887096774193549,0.6221590909090909,0.7395004697776387,0.4960378378378378,0.7985021398002853,0.6369230769230769,0.5572005383580081,0.5944005743000719,0.7213465088684752,0.4611492507666478
LogisticRegression,"{'penalty': 'l1', 'C': 1, 'solver': 'liblinear', 'max_iter': 1000, 'class_weight': None}",2,0.8017118402282454,0.6516129032258065,0.543010752688172,0.5923753665689149,0.7190781918780665,0.4627937876624343,0.8031383737517832,0.6621160409556314,0.522911051212938,0.5843373493975903,0.7134438864212119,0.4576873593245899
LogisticRegression,"{'penalty': 'l1', 'C': 1, 'solver': 'liblinear', 'max_iter': 1000, 'class_weight': 'balanced'}",1,0.7275320970042796,0.4917491749174917,0.8010752688172043,0.6094069529652352,0.751023071301806,0.4180499232852182,0.7346647646219686,0.4995773457311919,0.7954239569313594,0.6137071651090342,0.7540923763307937,0.4272784624904531
LogisticRegression,"{'penalty': 'l1', 'C': 1, 'solver': 'liblinear', 'max_iter': 1000, 'class_weight': 'balanced'}",2,0.724679029957204,0.4882943143812709,0.7849462365591398,0.6020618556701032,0.7439294289591816,0.408573289560538,0.7589158345221113,0.5290492957746479,0.8099730458221024,0.6400425985090521,0.775258103900382,0.4705426235332762
LogisticRegression,"{'penalty': 'l1', 'C': 1, 'solver': 'saga', 'max_iter': 100, 'class_weight': None}",1,0.7617689015691869,0.5527777777777778,0.5349462365591398,0.5437158469945355,0.6893177784737446,0.3825775555625876,0.75,0.5297450424929179,0.5033647375504711,0.5162180814354727,0.6711389432536441,0.3478161041580951
LogisticRegression,"{'penalty': 'l1', 'C': 1, 'solver': 'saga', 'max_iter': 100, 'class_weight': None}",2,0.7667617689015692,0.5683890577507599,0.5026881720430108,0.5335235378031384,0.6824120471865539,0.3788105026110192,0.7621255349500713,0.5621890547263682,0.4568733153638814,0.504089219330855,0.6644211387682647,0.3498175578336104
LogisticRegression,"{'penalty': 'l1', 'C': 1, 'solver': 'saga', 'max_iter': 100, 'class_weight': 'balanced'}",1,0.62339514978602,0.3962765957446808,0.8010752688172043,0.5302491103202847,0.6801492848940391,0.271659648156165,0.6383737517831669,0.4086311530681052,0.8156123822341858,0.5444743935309974,0.6950453953868648,0.295869256947681
LogisticRegression,"{'penalty': 'l1', 'C': 1, 'solver': 'saga', 'max_iter': 100, 'class_weight': 'balanced'}",2,0.6283880171184023,0.4,0.8010752688172043,0.5335720680393912,0.6835473431464663,0.2780438723246956,0.6533523537803139,0.4192415730337078,0.8045822102425876,0.5512465373961218,0.7017576424636799,0.311788554656173
LogisticRegression,"{'penalty': 'l1', 'C': 1, 'solver': 'saga', 'max_iter': 1000, 'class_weight': None}",1,0.7838801711840229,0.6011730205278593,0.5510752688172043,0.5750350631136044,0.709518216932874,0.4304954137295856,0.7699714693295292,0.5710144927536231,0.5302826379542396,0.5498953244940684,0.6933315179096767,0.3956880397969521
LogisticRegression,"{'penalty': 'l1', 'C': 1, 'solver': 'saga', 'max_iter': 1000, 'class_weight': None}",2,0.782453637660485,0.6043613707165109,0.521505376344086,0.5598845598845599,0.6991022027351498,0.4164408088847402,0.7810271041369472,0.6056105610561056,0.4946091644204852,0.5445103857566765,0.6893511389512708,0.4023040540352884
LogisticRegression,"{'penalty': 'l1', 'C': 1, 'solver': 'saga', 'max_iter': 1000, 'class_weight': 'balanced'}",1,0.6726105563480742,0.4359351988217967,0.7956989247311828,0.5632730732635585,0.711927132268504,0.3354324886453529,0.6861626248216833,0.4480667172100075,0.7954239569313594,0.5732298739088264,0.7210986839484551,0.3543589510112213
LogisticRegression,"{'penalty': 'l1', 'C': 1, 'solver': 'saga', 'max_iter': 1000, 'class_weight': 'balanced'}",2,0.6790299572039943,0.4412650602409638,0.7876344086021505,0.5656370656370656,0.7137201169224345,0.341753820728338,0.7072039942938659,0.4686756542426645,0.7964959568733153,0.5901148277583624,0.7357843508905859,0.3853057658458226
LogisticRegression,"{'penalty': 'l1', 'C': 10, 'solver': 'liblinear', 'max_iter': 100, 'class_weight': None}",1,0.8102710413694721,0.6586826347305389,0.5913978494623656,0.623229461756374,0.7403591189059401,0.4969324822342967,0.797432239657632,0.6335877862595419,0.5585464333781965,0.5937052932761088,0.7210490536614419,0.4594995964925736
LogisticRegression,"{'penalty': 'l1', 'C': 10, 'solver': 'liblinear', 'max_iter': 100, 'class_weight': None}",2,0.8002853067047075,0.6483870967741936,0.5403225806451613,0.5894428152492669,0.7172486689633574,0.4589289947679195,0.8017118402282454,0.6576271186440678,0.522911051212938,0.5825825825825827,0.7124739543164593,0.4547662280615856
LogisticRegression,"{'penalty': 'l1', 'C': 10, 'solver': 'liblinear', 'max_iter': 100, 'class_weight': 'balanced'}",1,0.7282453637660485,0.4925619834710744,0.8010752688172043,0.6100307062436029,0.7515085081950099,0.4191580563572029,0.7339514978601998,0.4987341772151898,0.7954239569313594,0.6130705394190871,0.75360717497223,0.4261541610039717
LogisticRegression,"{'penalty': 'l1', 'C': 10, 'solver': 'liblinear', 'max_iter': 100, 'class_weight': 'balanced'}",2,0.7261055634807418,0.4899665551839465,0.7876344086021505,0.6041237113402063,0.7457589518738909,0.4116376766612607,0.7585592011412268,0.5286343612334802,0.8086253369272237,0.6393180607352157,0.7745842494529427,0.4695638275518279
LogisticRegression,"{'penalty': 'l1', 'C': 10, 'solver': 'liblinear', 'max_iter': 1000, 'class_weight': None}",1,0.8088445078459344,0.655688622754491,0.5887096774193549,0.6203966005665723,0.738529595991231,0.493150019694705,0.7970756062767475,0.6330275229357798,0.5572005383580081,0.5926986399427344,0.7203761061513475,0.458305719128224
LogisticRegression,"{'penalty': 'l1', 'C': 10, 'solver': 'liblinear', 'max_iter': 1000, 'class_weight': None}",2,0.8002853067047075,0.6474358974358975,0.543010752688172,0.5906432748538012,0.718107318091659,0.4599086456441583,0.8024251069900142,0.6587837837837838,0.5256064690026954,0.5847076461769115,0.713821663211338,0.4572286310869851
LogisticRegression,"{'penalty': 'l1', 'C': 10, 'solver': 'liblinear', 'max_iter': 1000, 'class_weight': 'balanced'}",1,0.7275320970042796,0.4917491749174917,0.8010752688172043,0.6094069529652352,0.751023071301806,0.4180499232852182,0.7343081312410842,0.4991568296795953,0.7967698519515478,0.6137895282529808,0.7542801224823241,0.4271305244452245
LogisticRegression,"{'penalty': 'l1', 'C': 10, 'solver': 'liblinear', 'max_iter': 1000, 'class_weight': 'balanced'}",2,0.7268188302425107,0.490787269681742,0.7876344086021505,0.6047471620227038,0.7462443887670946,0.4127475748329451,0.7585592011412268,0.5286343612334802,0.8086253369272237,0.6393180607352157,0.7745842494529427,0.4695638275518279
LogisticRegression,"{'penalty': 'l1', 'C': 10, 'solver': 'saga', 'max_iter': 100, 'class_weight': None}",1,0.7617689015691869,0.5527777777777778,0.5349462365591398,0.5437158469945355,0.6893177784737446,0.3825775555625876,0.75,0.5297450424929179,0.5033647375504711,0.5162180814354727,0.6711389432536441,0.3478161041580951
LogisticRegression,"{'penalty': 'l1', 'C': 10, 'solver': 'saga', 'max_iter': 100, 'class_weight': None}",2,0.7667617689015692,0.5683890577507599,0.5026881720430108,0.5335235378031384,0.6824120471865539,0.3788105026110192,0.7621255349500713,0.5621890547263682,0.4568733153638814,0.504089219330855,0.6644211387682647,0.3498175578336104
LogisticRegression,"{'penalty': 'l1', 'C': 10, 'solver': 'saga', 'max_iter': 100, 'class_weight': 'balanced'}",1,0.62339514978602,0.3962765957446808,0.8010752688172043,0.5302491103202847,0.6801492848940391,0.271659648156165,0.6383737517831669,0.4086311530681052,0.8156123822341858,0.5444743935309974,0.6950453953868648,0.295869256947681
LogisticRegression,"{'penalty': 'l1', 'C': 10, 'solver': 'saga', 'max_iter': 100, 'class_weight': 'balanced'}",2,0.6283880171184023,0.4,0.8010752688172043,0.5335720680393912,0.6835473431464663,0.2780438723246956,0.6533523537803139,0.4192415730337078,0.8045822102425876,0.5512465373961218,0.7017576424636799,0.311788554656173
LogisticRegression,"{'penalty': 'l1', 'C': 10, 'solver': 'saga', 'max_iter': 1000, 'class_weight': None}",1,0.7838801711840229,0.6011730205278593,0.5510752688172043,0.5750350631136044,0.709518216932874,0.4304954137295856,0.7699714693295292,0.5710144927536231,0.5302826379542396,0.5498953244940684,0.6933315179096767,0.3956880397969521
