model,Parameter Set,Fold,testAccuracy,testPrecision,testRecall,testF1,testRocauc,testCohenkappascore
RandomForestClassifier,"{'n_estimators': 50, 'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'log2'}",noCrossVal,0.8059914407988588,0.6633986928104575,0.5456989247311828,0.59882005899705,0.7228494623655914,0.4724744498486634
RandomForestClassifier,"{'n_estimators': 50, 'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'sqrt'}",noCrossVal,0.8031383737517832,0.6518987341772152,0.553763440860215,0.5988372093023256,0.7234836621776803,0.4695450956308125
RandomForestClassifier,"{'n_estimators': 50, 'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'log2'}",noCrossVal,0.8074179743223966,0.6574074074074074,0.5725806451612904,0.6120689655172413,0.7324068274350142,0.4847945384464625
RandomForestClassifier,"{'n_estimators': 50, 'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",noCrossVal,0.8017118402282454,0.6459627329192547,0.5591397849462365,0.5994236311239194,0.7242300866478755,0.4685773499495513
RandomForestClassifier,"{'n_estimators': 50, 'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'log2'}",noCrossVal,0.8067047075606276,0.662379421221865,0.553763440860215,0.6032210834553441,0.7259108466436998,0.4767950734113486
RandomForestClassifier,"{'n_estimators': 50, 'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'sqrt'}",noCrossVal,0.7988587731811697,0.643312101910828,0.543010752688172,0.5889212827988337,0.717136444305251,0.4570339322892347
RandomForestClassifier,"{'n_estimators': 50, 'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'log2'}",noCrossVal,0.8031383737517832,0.6568627450980392,0.5403225806451613,0.5929203539823008,0.7191904165361729,0.4647167211699673
RandomForestClassifier,"{'n_estimators': 50, 'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'sqrt'}",noCrossVal,0.8031383737517832,0.6509433962264151,0.5564516129032258,0.6,0.7243423113059818,0.470500336622933
RandomForestClassifier,"{'n_estimators': 50, 'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'log2'}",noCrossVal,0.8045649072753209,0.6580645161290323,0.5483870967741935,0.5982404692082111,0.7227372377074851,0.470523373451464
RandomForestClassifier,"{'n_estimators': 50, 'criterion': 'gini', 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",noCrossVal,0.7888730385164051,0.6258278145695364,0.5080645161290323,0.5608308605341246,0.6991778891324772,0.423830283508733
